alpha=0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
89.72 ,89.61 ,89.67 ,89.74 ,89.79 ,89.83 ,89.87 ,89.91 ,89.94 ,89.93 ,85.31 
