alpha=0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
95.23 ,95.59 ,95.59 ,95.60 ,95.61 ,95.61 ,95.58 ,95.53 ,95.45 ,95.26 ,92.03 
