alpha=0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
89.49 ,94.86 ,95.63 ,95.39 ,94.73 ,94.35 ,94.25 ,93.76 ,93.34 ,93.28 ,90.34 
