alpha=0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
95.58 ,95.76 ,95.79 ,95.80 ,95.82 ,95.83 ,95.85 ,95.85 ,95.85 ,95.85 ,92.70 
