alpha=0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
91.17 ,91.32 ,91.34 ,91.36 ,91.37 ,91.38 ,91.38 ,91.37 ,91.36 ,91.35 ,88.20 
