alpha=0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
91.87 ,92.27 ,92.51 ,92.66 ,92.78 ,92.85 ,92.87 ,92.86 ,92.79 ,92.58 ,90.93 
